,route_id,service_id,trip_id
0,1001,287,1001-1-287-0535
1,1001,287,1001-1-287-0623
2,1001,287,1001-1-287-0655
3,1001,287,1001-1-287-0709
4,1001,287,1001-1-287-0727
5,1001,287,1001-1-287-0830
6,1001,287,1001-1-287-1030
7,1001,287,1001-1-287-1130
8,1001,287,1001-1-287-1230
9,1001,287,1001-1-287-1800
10,1001,287,1001-1-287-1807
11,1001,287,1001-1-287-1815
12,1001,287,1001-1-287-1822
13,1001,287,1001-1-287-1830
14,1001,287,1001-1-287-1900
15,1001,287,1001-1-287-2300
16,1001,287,1001-1-287-2312
17,1001,287,1001-1-287-2325
18,1001,287,1001-2-287-0630
19,1001,287,1001-2-287-0700
20,1001,287,1001-2-287-0800
21,1001,287,1001-2-287-0810
22,1001,287,1001-2-287-0834
23,1001,287,1001-2-287-0900
24,1001,287,1001-2-287-0930
25,1001,287,1001-2-287-1030
26,1001,287,1001-2-287-1230
27,1001,287,1001-2-287-1330
28,1001,287,1001-2-287-1500
29,1001,287,1001-2-287-1524
30,1001,287,1001-2-287-1627
31,1001,287,1001-2-287-1643
32,1001,287,1001-2-287-1651
33,1001,287,1001-2-287-1700
34,1001,287,1001-2-287-1708
35,1001,287,1001-2-287-1717
36,1001,287,1001-2-287-1725
37,1001,287,1001-2-287-1734
38,1001,287,1001-2-287-1742
39,1001,287,1001-2-287-1751
40,1001,287,1001-2-287-1800
41,1001,287,1001-2-287-1840
42,1001,287,1001-2-287-2000
43,1001,287,1001-2-287-2100
44,1001,287,1001-2-287-2300
45,1001,287,1001-2-287-2400
46,1001,288,1001-1-288-0535
47,1001,288,1001-1-288-0715
48,1001,288,1001-1-288-0818
49,1001,288,1001-1-288-1008
50,1001,288,1001-1-288-1120
51,1001,288,1001-1-288-1200
52,1001,288,1001-1-288-1400
53,1001,288,1001-1-288-1900
54,1001,288,1001-1-288-2312
55,1001,288,1001-1-288-2325
56,1001,288,1001-2-288-0630
57,1001,288,1001-2-288-0940
58,1001,288,1001-2-288-1016
59,1001,288,1001-2-288-1100
60,1001,288,1001-2-288-1200
61,1001,288,1001-2-288-1300
62,1001,288,1001-2-288-1450
63,1001,288,1001-2-288-1620
64,1001,288,1001-2-288-2400
65,1001,448,1001-1-448-0535
66,1001,448,1001-1-448-0735
67,1001,448,1001-1-448-1615
68,1001,448,1001-1-448-1727
69,1001,448,1001-1-448-1747
70,1001,448,1001-1-448-2135
71,1001,448,1001-1-448-2240
72,1001,448,1001-2-448-0630
73,1001,448,1001-2-448-1054
74,1001,448,1001-2-448-1105
75,1001,448,1001-2-448-1615
76,1001,448,1001-2-448-1624
77,1001,448,1001-2-448-1704
78,1001,448,1001-2-448-1713
79,1001,448,1001-2-448-1729
80,1001,448,1001-2-448-1738
81,1001,448,1001-2-448-1748
82,1001,448,1001-2-448-1757
83,1001,448,1001-2-448-1807
84,1001,448,1001-2-448-1816
85,1001,448,1001-2-448-1846
86,1001,448,1001-2-448-1854
87,1001,448,1001-2-448-1903
88,1001,448,1001-2-448-1911
