,Service Provider,Route,Origin,Destination
0,KMB,2D,TUNG TAU ESTATE,CHAK ON ESTATE
1,KMB,270A,TSIM SHA TSUI EAST (MODY ROAD),SHEUNG SHUI
2,KMB,270C,LUEN WO HUI BUS TERMINUS,TSIM SHA TSUI EAST (MODY ROAD)
3,KMB,271,FU HENG B/T,JORDAN (WEST KOWLOON STATION) BUS TERMINUS
4,KMB,271,JORDAN (WEST KOWLOON STATION) BUS TERMINUS,FU HENG B/T
5,KMB,271,JORDAN (WEST KOWLOON STATION) BUS TERMINUS,FU HENG
6,KMB,271,TSIM SHA TSUI (MIDDLE ROAD),FU HENG
7,KMB,271B,FU HENG,TSIM SHA TSUI (MIDDLE ROAD)
8,KMB,271B,TSIM SHA TSUI (MIDDLE ROAD),FU HENG
9,KMB,271P,KAU LUNG HANG,TSIM SHA TSUI (CANTON ROAD)
10,KMB,281A,KWONG YUEN,KOWLOON STATION
11,KMB,281A,KOWLOON STATION,KWONG YUEN
12,KMB,281B,SHEK MUN ESTATE,TSIM SHA TSUI EAST (MODY ROAD)
13,KMB,281X,YIU ON,TSIM SHA TSUI EAST (MODY ROAD)
14,KMB,N271,FU HENG,HUNG HOM STATION
15,KMB,N271,HUNG HOM STATION,FU HENG
16,KMB,N281,KAM YING COURT,HUNG HOM STATION
17,KMB,N281,HUNG HOM STATION,KAM YING COURT
18,KMB,N373,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY)
19,KMB,N373,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI)
20,KMB,208,TSIM SHA TSUI EAST,BROADCAST DRIVE
21,KMB,208,BROADCAST DRIVE,TSIM SHA TSUI EAST
22,KMB,270A,SHEUNG SHUI,TSIM SHA TSUI EAST (MODY ROAD)
23,KMB,81S,MEI TIN ESTATE,NATHAN ROAD (PUBLIC SQUARE STREET)
24,KMB,7B,LOK FU,HUNG HOM (HUNG LUEN ROAD)
25,KMB,10,CHOI WAN,TAI KOK TSUI (CIRCULAR)
26,KMB,3C,CHINA FERRY TERMINAL,TSZ WAN SHAN (NORTH)
27,KMB,72X,TAI PO CENTRAL,MONG KOK (PARK AVENUE)
28,KMB,72X,MONG KOK (PARK AVENUE),TAI PO CENTRAL
29,KMB,81C,YIU ON,TSIM SHA TSUI EAST (MODY ROAD)
30,KMB,81C,TSIM SHA TSUI EAST (MODY ROAD),YIU ON
31,KMB,7,STAR FERRY,LOK FU
32,KMB,87D,KAM YING COURT,HUNG HOM STATION
33,KMB,87D,HUNG HOM STATION,KAM YING COURT
34,KMB,7,LOK FU,STAR FERRY
35,KMB,87D,KAM YING COURT,HUNG HOM STATION (ONLY OMIT MA ON SHAN)
36,KMB,87D,MA ON SHAN TOWN CENTRE,HUNG HOM STATION
37,KMB,87E,NAI CHUNG,TSIM SHA TSUI (MIDDLE ROAD)
38,KMB,3C,TSZ WAN SHAN (NORTH),CHINA FERRY TERMINAL
39,KMB,87D,KAM YING COURT,HUNG HOM STATION (NOT VIA MA ON SHAN TOWN CENTRE A
40,KMB/CTB,170,Sha Tin Station,Wah Fu (Central)(via Ocean Park)
41,KMB/CTB,170,Wah Fu (Central)(via Ocean Park),Sha Tin Station
42,KMB/CTB,N182,Central (Macau Ferry),Kwong Yuen
43,KMB/CTB,N182,Kwong Yuen,Central (Macau Ferry)
44,KMB/CTB,N170,Wah Fu (Central),Sha Tin Central (New Town Plaza)
45,KMB/CTB,182,Yu Chui Court,Central (Macau Ferry)
46,KMB/CTB,170,Sha Tin Station,Wah Fu (Central)
47,KMB/CTB,182,Central (Macau Ferry),Yu Chui Court
48,KMB/CTB,103,Chuk Yuen Estate,Pokfield Road
49,KMB/CTB,103,Pokfield Road,Chuk Yuen Estate
50,KMB/CTB,N170,Sha Tin Central (New Town Plaza),Wah Fu (Central)
51,KMB/CTB,170,Wah Fu (Central),Sha Tin Station
52,CTB,22,Kai Tak Cruise Terminal,Kowloon Tong (Festival Walk)
53,CTB,22,Kowloon Tong (Festival Walk),Kai Tak Cruise Terminal
54,GMB,616S,Lok Ma Chau Control Point,Mong Kok
55,GMB,25A,Kowloon Tong (Suffolk Road) Public Transport Inter,Tung Tau Estate (Tung Lung Road)
56,GMB,25B,KOWLOON TONG (SUFFOLK ROAD) PUBLIC TRANSPORT INTER,SAN PO KONG(THE LATITUDE)
57,GMB,25B,SAN PO KONG(THE LATITUDE),KOWLOON TONG (SUFFOLK ROAD) PUBLIC TRANSPORT INTER
58,GMB,25M,Kowloon Tong (Suffolk Road) Public Transport Inter,Tung Tau Estate (Tung Lung Road)
59,GMB,25M,Tung Tau Estate (Tung Lung Road),Kowloon Tong (Suffolk Road) Public Transport Inter
60,GMB,25M(S),Kowloon Tong (Suffolk Road) Public Transport Inter,Hong Kong Baptist University (Circular)
61,GMB,616S,Mong Kok,Lok Ma Chau Control Point
